Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
NCF07,9,Low Fat,0.032204,Household,100.8016,OUT017,2007,,Tier 2,Supermarket Type1,1113.218
DRE15,13.35,Low Fat,0.017858,Dairy,77.5012,OUT018,2009,Medium,Tier 3,Supermarket Type2,1518.024
FDR58,6.675,Low Fat,0.041921,Snack Foods,92.3462,OUT046,1997,Small,Tier 1,Supermarket Type1,2406.201
FDL24,10.3,Regular,0.024876,Baking Goods,173.0422,OUT013,1987,High,Tier 3,Supermarket Type1,2069.306
FDQ25,,Regular,0.02814,Canned,173.7422,OUT027,1985,Medium,Tier 3,Supermarket Type3,3621.286
FDX56,17.1,Regular,0.073998,Fruits and Vegetables,207.0638,OUT013,1987,High,Tier 3,Supermarket Type1,4969.531
FDD20,14.15,LF,0.020799,Fruits and Vegetables,123.6046,OUT018,2009,Medium,Tier 3,Supermarket Type2,1245.046
DRF60,10.8,Low Fat,0.052363,Soft Drinks,236.5564,OUT017,2007,,Tier 2,Supermarket Type1,5243.841
FDW13,8.5,Low Fat,0.098283,Canned,51.3324,OUT018,2009,Medium,Tier 3,Supermarket Type2,934.7832
FDF09,6.215,Low Fat,0.012139,Fruits and Vegetables,39.2848,OUT013,1987,High,Tier 3,Supermarket Type1,521.9872
FDY45,17.5,Low Fat,0,Snack Foods,253.0356,OUT035,2004,Small,Tier 2,Supermarket Type1,4578.041
FDR26,20.7,Low Fat,0.042924,Dairy,178.3028,OUT045,2002,,Tier 2,Supermarket Type1,1062.617
FDZ01,8.975,Regular,0.009059,Canned,103.399,OUT046,1997,Small,Tier 1,Supermarket Type1,2579.975
FDH53,20.5,Regular,0.032136,Frozen Foods,83.9592,OUT010,1998,,Tier 3,Grocery Store,165.1184
FDG52,13.65,Low Fat,0.065898,Frozen Foods,46.1402,OUT018,2009,Medium,Tier 3,Supermarket Type2,459.402
FDW50,13.1,Low Fat,0.075731,Dairy,167.5158,OUT045,2002,,Tier 2,Supermarket Type1,1504.042
FDX49,4.615,Regular,0.101813,Canned,232.23,OUT035,2004,Small,Tier 2,Supermarket Type1,5126.66
FDJ44,12.3,Regular,0.106327,Fruits and Vegetables,172.8396,OUT046,1997,Small,Tier 1,Supermarket Type1,2616.594
NCI31,,Low Fat,0.080933,Others,37.519,OUT027,1985,Medium,Tier 3,Supermarket Type3,842.237
FDZ52,19.2,Low Fat,0.100056,Frozen Foods,112.4886,OUT035,2004,Small,Tier 2,Supermarket Type1,1223.075
FDE17,20.1,Regular,0.05454,Frozen Foods,152.1366,OUT049,1999,Medium,Tier 1,Supermarket Type1,755.683
FDG34,11.5,Regular,0.037723,Snack Foods,109.5254,OUT018,2009,Medium,Tier 3,Supermarket Type2,1953.457
FDE26,9.3,Low Fat,0.148977,Canned,143.0786,OUT010,1998,,Tier 3,Grocery Store,288.9572
FDD56,15.2,Regular,0.104201,Fruits and Vegetables,176.5054,OUT018,2009,Medium,Tier 3,Supermarket Type2,2976.792
FDR52,12.65,Regular,0.076199,Frozen Foods,191.3846,OUT045,2002,,Tier 2,Supermarket Type1,2675.184
FDQ13,11.1,LF,0.01064,Canned,84.1908,OUT035,2004,Small,Tier 2,Supermarket Type1,755.0172
NCJ42,,Low Fat,0.02504,Household,102.7332,OUT019,1985,Small,Tier 1,Grocery Store,410.1328
FDH10,,Low Fat,0.086327,Snack Foods,192.6478,OUT019,1985,Small,Tier 1,Grocery Store,387.4956
NCG42,19.2,Low Fat,0.04122,Household,131.231,OUT035,2004,Small,Tier 2,Supermarket Type1,3635.268
FDT31,19.75,Low Fat,0.012474,Fruits and Vegetables,187.5872,OUT045,2002,,Tier 2,Supermarket Type1,1323.61
DRD25,6.135,Low Fat,0.079132,Soft Drinks,112.686,OUT045,2002,,Tier 2,Supermarket Type1,2942.836
FDR35,12.5,Low Fat,0.020694,Breads,199.1742,OUT035,2004,Small,Tier 2,Supermarket Type1,4379.632
FDL33,7.235,Low Fat,0.100165,Snack Foods,193.9452,OUT045,2002,,Tier 2,Supermarket Type1,2936.178
FDT45,15.85,Low Fat,0.057303,Snack Foods,53.3956,OUT035,2004,Small,Tier 2,Supermarket Type1,600.5516
FDT16,9.895,Regular,0.048761,Frozen Foods,260.5278,OUT045,2002,,Tier 2,Supermarket Type1,8851.145
DRE49,20.75,Low Fat,0,Soft Drinks,153.0024,OUT035,2004,Small,Tier 2,Supermarket Type1,2428.838
DRF60,10.8,Low Fat,0.05215,Soft Drinks,239.9564,OUT049,1999,Medium,Tier 1,Supermarket Type1,3813.702
NCB54,8.76,Low Fat,0.050131,Health and Hygiene,128.3336,OUT049,1999,Medium,Tier 1,Supermarket Type1,2556.672
FDH20,16.1,Regular,0.024988,Fruits and Vegetables,97.341,OUT049,1999,Medium,Tier 1,Supermarket Type1,1255.033
FDA31,7.1,Low Fat,0.109991,Fruits and Vegetables,172.908,OUT035,2004,Small,Tier 2,Supermarket Type1,2769.728
FDE33,19.35,Regular,0.049736,Fruits and Vegetables,76.8644,OUT045,2002,,Tier 2,Supermarket Type1,1571.288
FDM12,16.7,reg,0.117027,Baking Goods,189.2214,OUT010,1998,,Tier 3,Grocery Store,188.4214
FDW44,9.5,Regular,0.035122,Fruits and Vegetables,168.6448,OUT013,1987,High,Tier 3,Supermarket Type1,1022.669
DRE48,8.43,Low Fat,0.017311,Soft Drinks,197.8768,OUT013,1987,High,Tier 3,Supermarket Type1,3744.459
NCX18,14.15,Low Fat,0.008812,Household,196.511,OUT045,2002,,Tier 2,Supermarket Type1,2749.754
FDA38,5.44,Low Fat,0.025584,Dairy,239.1538,OUT018,2009,Medium,Tier 3,Supermarket Type2,480.7076
FDQ19,7.35,Regular,0.014353,Fruits and Vegetables,242.6512,OUT013,1987,High,Tier 3,Supermarket Type1,969.4048
FDY47,,Regular,0.054221,Breads,129.131,OUT027,1985,Medium,Tier 3,Supermarket Type3,4933.578
FDE17,20.1,Regular,0.05441,Frozen Foods,151.3366,OUT013,1987,High,Tier 3,Supermarket Type1,2720.459
FDY25,12,Low Fat,0.033974,Canned,181.8976,OUT046,1997,Small,Tier 1,Supermarket Type1,4527.44
FDT03,21.25,Low Fat,0.009997,Meat,185.5608,OUT035,2004,Small,Tier 2,Supermarket Type1,3123.934
FDB49,8.3,Regular,0.030212,Baking Goods,98.0384,OUT045,2002,,Tier 2,Supermarket Type1,2857.614
FDL43,10.1,Low Fat,0.027217,Meat,76.067,OUT017,2007,,Tier 2,Supermarket Type1,1454.773
FDE47,14.15,Low Fat,0.038123,Starchy Foods,123.5046,OUT017,2007,,Tier 2,Supermarket Type1,1992.074
FDS49,9,Low Fat,0.079506,Canned,78.3644,OUT045,2002,,Tier 2,Supermarket Type1,1728.417
FDU23,12.15,Low Fat,0.021812,Breads,163.6184,OUT018,2009,Medium,Tier 3,Supermarket Type2,2311.658
FDU38,,Low Fat,0.08215,Dairy,192.9504,OUT027,1985,Medium,Tier 3,Supermarket Type3,7478.266
FDV09,,Low Fat,0.036013,Snack Foods,148.0734,OUT019,1985,Small,Tier 1,Grocery Store,593.8936
FDR20,20,Regular,0.028167,Fruits and Vegetables,45.5744,OUT049,1999,Medium,Tier 1,Supermarket Type1,452.744
FDY11,6.71,Regular,0.02956,Baking Goods,65.8142,OUT046,1997,Small,Tier 1,Supermarket Type1,856.8846
FDG40,,Low Fat,0.039631,Frozen Foods,31.9558,OUT027,1985,Medium,Tier 3,Supermarket Type3,984.7182
FDX20,7.365,Low Fat,0.042801,Fruits and Vegetables,228.372,OUT017,2007,,Tier 2,Supermarket Type1,2037.348
FDZ27,7.935,LF,0.017142,Dairy,50.035,OUT013,1987,High,Tier 3,Supermarket Type1,149.805
FDH09,12.6,Low Fat,0.056395,Seafood,51.3982,OUT017,2007,,Tier 2,Supermarket Type1,473.3838
FDG29,17.6,Low Fat,0.056379,Frozen Foods,42.7454,OUT049,1999,Medium,Tier 1,Supermarket Type1,293.6178
NCA30,19,low fat,0.129535,Household,190.1872,OUT049,1999,Medium,Tier 1,Supermarket Type1,5105.354
NCL53,7.5,Low Fat,0.03644,Health and Hygiene,175.3028,OUT017,2007,,Tier 2,Supermarket Type1,3010.748
DRE15,13.35,Low Fat,0,Dairy,77.6012,OUT046,1997,Small,Tier 1,Supermarket Type1,986.7156
NCS38,8.6,Low Fat,0.090191,Household,112.9176,OUT046,1997,Small,Tier 1,Supermarket Type1,458.0704
FDY21,,LF,0.303743,Snack Foods,196.011,OUT019,1985,Small,Tier 1,Grocery Store,589.233
FDB58,10.5,Regular,0.02259,Snack Foods,140.6154,OUT010,1998,,Tier 3,Grocery Store,283.6308
FDH41,9,Low Fat,0.082012,Frozen Foods,213.3534,OUT046,1997,Small,Tier 1,Supermarket Type1,1935.481
DRF23,4.61,Low Fat,0.122843,Hard Drinks,172.4396,OUT049,1999,Medium,Tier 1,Supermarket Type1,1569.956
FDE05,10.895,Regular,0.054321,Frozen Foods,146.2102,OUT010,1998,,Tier 3,Grocery Store,437.4306
FDY10,17.6,Low Fat,0.049144,Snack Foods,112.7176,OUT049,1999,Medium,Tier 1,Supermarket Type1,1717.764
FDS43,11.65,Low Fat,0.040578,Fruits and Vegetables,188.224,OUT049,1999,Medium,Tier 1,Supermarket Type1,1304.968
NCM30,19.1,Low Fat,0.0674,Household,41.9796,OUT049,1999,Medium,Tier 1,Supermarket Type1,784.3124
FDY49,17.2,Regular,0.012036,Canned,165.7184,OUT045,2002,,Tier 2,Supermarket Type1,1816.302
FDN02,16.5,Low Fat,0.073977,Canned,206.8638,OUT045,2002,,Tier 2,Supermarket Type1,2070.638
FDP37,15.6,Low Fat,0.143396,Breakfast,128.0994,OUT045,2002,,Tier 2,Supermarket Type1,2184.49
NCF07,9,Low Fat,0.032016,Household,99.6016,OUT035,2004,Small,Tier 2,Supermarket Type1,1922.83
FDJ09,15,Low Fat,0.058346,Snack Foods,44.0744,OUT013,1987,High,Tier 3,Supermarket Type1,633.8416
FDO23,,Low Fat,0.145718,Breads,94.3436,OUT027,1985,Medium,Tier 3,Supermarket Type3,2269.046
FDH09,,Low Fat,0.055806,Seafood,52.4982,OUT027,1985,Medium,Tier 3,Supermarket Type3,1209.759
FDX34,6.195,Low Fat,0.072097,Snack Foods,119.3098,OUT049,1999,Medium,Tier 1,Supermarket Type1,1205.098
FDV60,20.2,Regular,0.117544,Baking Goods,197.311,OUT049,1999,Medium,Tier 1,Supermarket Type1,3338.987
FDE32,20.7,Low Fat,0.048718,Fruits and Vegetables,38.7506,OUT013,1987,High,Tier 3,Supermarket Type1,227.7036
NCI30,20.25,Low Fat,0.059176,Household,245.046,OUT018,2009,Medium,Tier 3,Supermarket Type2,4680.574
FDS37,7.655,Low Fat,0.031918,Canned,117.7492,OUT013,1987,High,Tier 3,Supermarket Type1,695.0952
FDC57,,Regular,0.095588,Fruits and Vegetables,193.982,OUT019,1985,Small,Tier 1,Grocery Store,579.246
DRC01,5.92,Regular,0.019309,Soft Drinks,49.0692,OUT017,2007,,Tier 2,Supermarket Type1,1478.076
DRD27,18.75,Low Fat,0.023975,Dairy,99.0042,OUT017,2007,,Tier 2,Supermarket Type1,694.4294
FDI12,9.395,Regular,0.100603,Baking Goods,88.3856,OUT045,2002,,Tier 2,Supermarket Type1,703.0848
FDQ33,13.35,Low Fat,0.09119,Snack Foods,149.3708,OUT035,2004,Small,Tier 2,Supermarket Type1,4514.124
FDQ27,,Regular,0.077481,Meat,101.399,OUT019,1985,Small,Tier 1,Grocery Store,206.398
NCB07,19.2,Low Fat,0.129732,Household,196.211,OUT010,1998,,Tier 3,Grocery Store,589.233
FDC08,19,Regular,0.103364,Fruits and Vegetables,226.172,OUT013,1987,High,Tier 3,Supermarket Type1,3169.208
FDD20,14.15,LF,0.020715,Fruits and Vegetables,124.2046,OUT046,1997,Small,Tier 1,Supermarket Type1,2490.092
FDS24,20.85,Regular,0.062213,Baking Goods,88.1514,OUT035,2004,Small,Tier 2,Supermarket Type1,1151.168
FDH34,8.63,Low Fat,0.031271,Snack Foods,186.0582,OUT017,2007,,Tier 2,Supermarket Type1,3900.922
NCX30,16.7,Low Fat,0.026729,Household,248.4776,OUT018,2009,Medium,Tier 3,Supermarket Type2,6439.618
FDM01,7.895,Regular,0.094567,Breakfast,104.5332,OUT046,1997,Small,Tier 1,Supermarket Type1,1845.598
FDB20,7.72,Low Fat,0.051937,Fruits and Vegetables,77.9986,OUT013,1987,High,Tier 3,Supermarket Type1,934.7832
NCK29,5.615,Low Fat,0.12648,Health and Hygiene,121.573,OUT017,2007,,Tier 2,Supermarket Type1,3202.498
FDS11,7.05,Regular,0.055645,Breads,224.9088,OUT049,1999,Medium,Tier 1,Supermarket Type1,2684.506
NCV41,14.35,Low Fat,0.028519,Health and Hygiene,109.2228,OUT010,1998,,Tier 3,Grocery Store,221.0456
DRL60,8.52,Low Fat,0.027101,Soft Drinks,151.7682,OUT049,1999,Medium,Tier 1,Supermarket Type1,2439.491
FDV10,7.645,Regular,0.067083,Snack Foods,44.0112,OUT017,2007,,Tier 2,Supermarket Type1,596.5568
FDV09,12.1,Low Fat,0.020652,Snack Foods,149.5734,OUT018,2009,Medium,Tier 3,Supermarket Type2,2227.101
FDQ39,14.8,Low Fat,0.081042,Meat,192.4846,OUT046,1997,Small,Tier 1,Supermarket Type1,5159.284
DRE49,20.75,Low Fat,0.021337,Soft Drinks,153.6024,OUT018,2009,Medium,Tier 3,Supermarket Type2,1366.222
FDR45,10.8,Low Fat,0.029002,Snack Foods,238.6222,OUT045,2002,,Tier 2,Supermarket Type1,8604.799
DRJ23,18.35,Low Fat,0.069745,Hard Drinks,190.2872,OUT010,1998,,Tier 3,Grocery Store,378.1744
FDQ26,13.5,Regular,0.068149,Dairy,58.6562,OUT018,2009,Medium,Tier 3,Supermarket Type2,711.0744
NCA06,20.5,Low Fat,0.144094,Household,34.819,OUT017,2007,,Tier 2,Supermarket Type1,1061.951
FDT24,12.35,Regular,0.186616,Baking Goods,78.6328,OUT018,2009,Medium,Tier 3,Supermarket Type2,1004.026
DRG27,8.895,Low Fat,0.105324,Dairy,39.1138,OUT045,2002,,Tier 2,Supermarket Type1,609.207
FDR02,16.7,Low Fat,0.02211,Dairy,110.8886,OUT045,2002,,Tier 2,Supermarket Type1,3558.035
DRG37,16.2,Low Fat,0.019375,Soft Drinks,155.8972,OUT035,2004,Small,Tier 2,Supermarket Type1,2025.364
FDJ07,7.26,Low Fat,0.014482,Meat,118.115,OUT018,2009,Medium,Tier 3,Supermarket Type2,1864.24
FDP32,6.65,Low Fat,0.087806,Fruits and Vegetables,126.7678,OUT049,1999,Medium,Tier 1,Supermarket Type1,1907.517
FDV59,13.35,Low Fat,0.048027,Breads,218.9166,OUT046,1997,Small,Tier 1,Supermarket Type1,5660.632
FDP60,17.35,Low Fat,0.055908,Baking Goods,99.8016,OUT035,2004,Small,Tier 2,Supermarket Type1,607.2096
FDE32,,Low Fat,0.048523,Fruits and Vegetables,39.6506,OUT027,1985,Medium,Tier 3,Supermarket Type3,1024.666
FDK26,5.46,Regular,0.032359,Canned,187.424,OUT017,2007,,Tier 2,Supermarket Type1,3169.208
FDW28,18.25,Low Fat,0.088807,Frozen Foods,197.3452,OUT035,2004,Small,Tier 2,Supermarket Type1,2740.433
FDP56,8.185,LF,0.046556,Fruits and Vegetables,47.7692,OUT049,1999,Medium,Tier 1,Supermarket Type1,640.4996
FDT25,7.5,Low Fat,0.050751,Canned,122.2072,OUT046,1997,Small,Tier 1,Supermarket Type1,1960.115
FDQ12,12.65,Low Fat,0.035404,Baking Goods,230.601,OUT035,2004,Small,Tier 2,Supermarket Type1,2067.309
FDR60,14.3,Low Fat,0.13039,Baking Goods,77.2328,OUT035,2004,Small,Tier 2,Supermarket Type1,231.6984
FDZ10,17.85,Low Fat,0.074423,Snack Foods,128.002,OUT010,1998,,Tier 3,Grocery Store,253.004
FDM13,6.425,Low Fat,0.105743,Breakfast,130.5626,OUT010,1998,,Tier 3,Grocery Store,131.1626
FDF26,6.825,Regular,0.046729,Canned,153.4998,OUT045,2002,,Tier 2,Supermarket Type1,2153.197
FDN02,,Low Fat,0.07347,Canned,205.3638,OUT027,1985,Medium,Tier 3,Supermarket Type3,5383.659
NCI30,20.25,Low Fat,0.058886,Household,245.546,OUT013,1987,High,Tier 3,Supermarket Type1,1724.422
NCJ31,19.2,Low Fat,0.182938,Others,243.0196,OUT049,1999,Medium,Tier 1,Supermarket Type1,3615.294
NCQ54,17.7,Low Fat,0.020993,Household,166.8474,OUT010,1998,,Tier 3,Grocery Store,168.4474
FDB02,9.695,Regular,0.029223,Canned,175.437,OUT045,2002,,Tier 2,Supermarket Type1,2999.429
FDC02,,Low Fat,0.068489,Canned,259.3278,OUT027,1985,Medium,Tier 3,Supermarket Type3,4165.245
FDA11,7.75,LF,0.043327,Baking Goods,95.6436,OUT045,2002,,Tier 2,Supermarket Type1,1134.523
DRI23,,Low Fat,0.136533,Hard Drinks,159.6578,OUT027,1985,Medium,Tier 3,Supermarket Type3,2888.24
FDE04,19.75,Regular,0.018051,Frozen Foods,179.866,OUT049,1999,Medium,Tier 1,Supermarket Type1,2696.49
FDW38,5.325,Regular,0.232122,Dairy,55.5298,OUT010,1998,,Tier 3,Grocery Store,53.9298
FDG46,,Regular,0.057621,Snack Foods,115.4518,OUT019,1985,Small,Tier 1,Grocery Store,113.8518
NCJ05,,LF,0.045865,Health and Hygiene,152.3682,OUT027,1985,Medium,Tier 3,Supermarket Type3,2287.023
FDU01,,Regular,0.021002,Canned,185.1924,OUT019,1985,Small,Tier 1,Grocery Store,555.2772
FDY11,6.71,Regular,0.029728,Baking Goods,66.6142,OUT017,2007,,Tier 2,Supermarket Type1,1120.541
FDX60,14.35,Low Fat,0.080527,Baking Goods,79.296,OUT013,1987,High,Tier 3,Supermarket Type1,719.064
NCN29,15.2,Low Fat,0,Health and Hygiene,47.8034,OUT049,1999,Medium,Tier 1,Supermarket Type1,437.4306
FDT07,5.82,reg,0,Fruits and Vegetables,256.633,OUT049,1999,Medium,Tier 1,Supermarket Type1,2050.664
FDI21,5.59,Regular,0.056833,Snack Foods,61.9168,OUT018,2009,Medium,Tier 3,Supermarket Type2,1214.419
FDI41,18.5,Regular,0.062257,Frozen Foods,148.0418,OUT046,1997,Small,Tier 1,Supermarket Type1,2059.985
FDE10,,Regular,0.089513,Snack Foods,133.1626,OUT027,1985,Medium,Tier 3,Supermarket Type3,3672.553
FDQ28,14,Regular,0.060427,Frozen Foods,153.5656,OUT046,1997,Small,Tier 1,Supermarket Type1,3089.312
FDY32,7.605,Low Fat,0.216323,Fruits and Vegetables,165.021,OUT010,1998,,Tier 3,Grocery Store,815.605
NCK05,,Low Fat,0.135612,Health and Hygiene,61.1536,OUT019,1985,Small,Tier 1,Grocery Store,61.2536
FDH12,9.6,Low Fat,0.085126,Baking Goods,107.128,OUT045,2002,,Tier 2,Supermarket Type1,1278.336
FDJ27,17.7,Regular,0.122565,Meat,103.8674,OUT017,2007,,Tier 2,Supermarket Type1,1528.011
DRL35,15.7,Low Fat,0,Hard Drinks,43.377,OUT010,1998,,Tier 3,Grocery Store,129.831
NCY29,13.65,Low Fat,0.077671,Health and Hygiene,55.093,OUT017,2007,,Tier 2,Supermarket Type1,1301.639
FDC21,14.6,Regular,0.043202,Fruits and Vegetables,110.1254,OUT017,2007,,Tier 2,Supermarket Type1,1844.932
FDM33,15.6,Low Fat,0.088216,Snack Foods,220.1798,OUT017,2007,,Tier 2,Supermarket Type1,5068.735
DRJ39,20.25,Low Fat,0.036296,Dairy,217.5482,OUT013,1987,High,Tier 3,Supermarket Type1,1095.241
FDB22,8.02,Low Fat,0.186529,Snack Foods,151.9998,OUT010,1998,,Tier 3,Grocery Store,307.5996
FDC32,18.35,Low Fat,0.099027,Fruits and Vegetables,93.8462,OUT013,1987,High,Tier 3,Supermarket Type1,1295.647
FDD02,16.6,LF,0,Canned,118.8124,OUT046,1997,Small,Tier 1,Supermarket Type1,2607.273
FDL28,10,Regular,0.063163,Frozen Foods,228.6668,OUT035,2004,Small,Tier 2,Supermarket Type1,3455.502
FDL39,16.1,Regular,0.06343,Dairy,179.4318,OUT049,1999,Medium,Tier 1,Supermarket Type1,2345.613
FDV37,13,Regular,0.139785,Canned,196.2426,OUT010,1998,,Tier 3,Grocery Store,197.7426
FDA28,16.1,Regular,0.048072,Frozen Foods,126.5362,OUT017,2007,,Tier 2,Supermarket Type1,1761.707
FDL04,19,Low Fat,0.112097,Frozen Foods,105.5622,OUT049,1999,Medium,Tier 1,Supermarket Type1,1905.52
FDR10,17.6,Low Fat,0.010038,Snack Foods,163.5552,OUT035,2004,Small,Tier 2,Supermarket Type1,3086.649
FDA39,6.32,Low Fat,0.01279,Meat,39.1822,OUT017,2007,,Tier 2,Supermarket Type1,1060.619
FDR15,9.3,Regular,0.033432,Meat,153.1314,OUT035,2004,Small,Tier 2,Supermarket Type1,4653.942
FDQ40,11.1,Regular,0.036231,Frozen Foods,175.0712,OUT017,2007,,Tier 2,Supermarket Type1,3339.653
DRG23,,Low Fat,0.086361,Hard Drinks,151.2682,OUT027,1985,Medium,Tier 3,Supermarket Type3,2439.491
FDU36,6.15,Low Fat,0.046232,Baking Goods,99.4384,OUT013,1987,High,Tier 3,Supermarket Type1,1379.538
FDF47,20.85,Low Fat,0.097618,Starchy Foods,223.9746,OUT046,1997,Small,Tier 1,Supermarket Type1,897.4984
FDH14,17.1,Regular,0.046809,Canned,141.4838,OUT046,1997,Small,Tier 1,Supermarket Type1,1404.838
FDO45,13.15,Regular,0.038107,Snack Foods,86.3856,OUT018,2009,Medium,Tier 3,Supermarket Type2,615.1992
FDK60,16.5,Regular,0.093847,Baking Goods,95.7068,OUT035,2004,Small,Tier 2,Supermarket Type1,1069.275
FDS43,11.65,Low Fat,0.040744,Fruits and Vegetables,185.924,OUT017,2007,,Tier 2,Supermarket Type1,4101.328
FDN44,13.15,Low Fat,0.022831,Fruits and Vegetables,160.292,OUT049,1999,Medium,Tier 1,Supermarket Type1,4793.76
FDS34,19.35,Regular,0.076878,Snack Foods,113.9518,OUT049,1999,Medium,Tier 1,Supermarket Type1,1138.518
FDU20,19.35,Regular,0.021501,Fruits and Vegetables,122.2098,OUT045,2002,,Tier 2,Supermarket Type1,2771.725
FDP44,16.5,Regular,0.079647,Fruits and Vegetables,101.4332,OUT013,1987,High,Tier 3,Supermarket Type1,1948.131
FDC02,21.35,Low Fat,0.068809,Canned,258.5278,OUT035,2004,Small,Tier 2,Supermarket Type1,5206.556
FDT56,16,Regular,0.115571,Fruits and Vegetables,57.5246,OUT035,2004,Small,Tier 2,Supermarket Type1,173.7738
NCA06,20.5,Low Fat,0.143164,Household,34.919,OUT013,1987,High,Tier 3,Supermarket Type1,73.238
FDE04,19.75,Regular,0.018008,Frozen Foods,180.466,OUT013,1987,High,Tier 3,Supermarket Type1,3415.554
NCX06,17.6,Low Fat,0.015776,Household,179.1976,OUT017,2007,,Tier 2,Supermarket Type1,3803.05
FDX49,4.615,Regular,0.102408,Canned,234.33,OUT017,2007,,Tier 2,Supermarket Type1,3961.51
DRM59,5.88,Low Fat,0.003607,Hard Drinks,154.1998,OUT018,2009,Medium,Tier 3,Supermarket Type2,1384.198
FDJ34,11.8,Regular,0.093801,Snack Foods,126.0704,OUT049,1999,Medium,Tier 1,Supermarket Type1,1251.704
FDP60,17.35,Low Fat,0,Baking Goods,101.9016,OUT013,1987,High,Tier 3,Supermarket Type1,1821.629
FDI07,12.35,Regular,0.033761,Meat,196.9426,OUT046,1997,Small,Tier 1,Supermarket Type1,5141.308
FDV07,,Low Fat,0.031131,Fruits and Vegetables,111.0228,OUT027,1985,Medium,Tier 3,Supermarket Type3,3205.161
FDH41,9,Low Fat,0.082178,Frozen Foods,214.1534,OUT045,2002,,Tier 2,Supermarket Type1,1720.427
NCB31,6.235,Low Fat,0.118859,Household,263.291,OUT049,1999,Medium,Tier 1,Supermarket Type1,3418.883
FDW34,9.6,Low Fat,0,Snack Foods,244.817,OUT035,2004,Small,Tier 2,Supermarket Type1,4374.306
FDX45,16.75,Low Fat,0.105449,Snack Foods,156.163,OUT017,2007,,Tier 2,Supermarket Type1,782.315
FDH14,17.1,Regular,0.046881,Canned,141.3838,OUT049,1999,Medium,Tier 1,Supermarket Type1,1685.806
FDF26,6.825,Regular,0.078057,Canned,154.5998,OUT010,1998,,Tier 3,Grocery Store,153.7998
FDU24,6.78,Regular,0.140956,Baking Goods,92.212,OUT017,2007,,Tier 2,Supermarket Type1,4101.328
FDX11,16,Regular,0.107187,Baking Goods,181.9634,OUT018,2009,Medium,Tier 3,Supermarket Type2,3453.505
FDF35,15,Low Fat,0.15396,Starchy Foods,105.9938,OUT035,2004,Small,Tier 2,Supermarket Type1,1179.132
NCC43,7.39,Low Fat,0.093161,Household,251.3066,OUT018,2009,Medium,Tier 3,Supermarket Type2,1004.026
FDG29,17.6,Low Fat,0.056292,Frozen Foods,42.5454,OUT046,1997,Small,Tier 1,Supermarket Type1,419.454
FDS44,12.65,Regular,0.156044,Fruits and Vegetables,239.6538,OUT046,1997,Small,Tier 1,Supermarket Type1,3845.661
FDZ10,17.85,Low Fat,0.044463,Snack Foods,127.102,OUT046,1997,Small,Tier 1,Supermarket Type1,2024.032
FDC52,11.15,Regular,0.008273,Dairy,150.4708,OUT013,1987,High,Tier 3,Supermarket Type1,1956.12
DRL35,15.7,low fat,0.030698,Hard Drinks,42.877,OUT035,2004,Small,Tier 2,Supermarket Type1,1168.479
NCP55,14.65,Low Fat,0,Others,56.4614,OUT010,1998,,Tier 3,Grocery Store,55.2614
FDV38,,Low Fat,0.101281,Dairy,55.0956,OUT027,1985,Medium,Tier 3,Supermarket Type3,2020.037
FDL44,18.25,Low Fat,0.0123,Fruits and Vegetables,160.4894,OUT045,2002,,Tier 2,Supermarket Type1,3073.999
FDZ47,20.7,Regular,0,Baking Goods,98.7042,OUT017,2007,,Tier 2,Supermarket Type1,1884.88
FDT45,15.85,Low Fat,0.057313,Snack Foods,53.3956,OUT046,1997,Small,Tier 1,Supermarket Type1,1364.89
FDN23,6.575,Regular,0.075625,Breads,145.7444,OUT049,1999,Medium,Tier 1,Supermarket Type1,3193.177
NCP43,17.75,Low Fat,0.030569,Others,177.866,OUT045,2002,,Tier 2,Supermarket Type1,2336.958
DRJ24,,Low Fat,0.198425,Soft Drinks,185.2924,OUT019,1985,Small,Tier 1,Grocery Store,370.1848
FDA02,,Regular,0.029579,Dairy,143.5786,OUT027,1985,Medium,Tier 3,Supermarket Type3,3756.444
FDH33,,LF,0.213125,Snack Foods,44.9428,OUT019,1985,Small,Tier 1,Grocery Store,175.7712
FDF56,16.7,Regular,0.120138,Fruits and Vegetables,181.2976,OUT017,2007,,Tier 2,Supermarket Type1,3078.659
NCN26,10.85,Low Fat,0.02868,Household,115.1808,OUT046,1997,Small,Tier 1,Supermarket Type1,2109.254
FDD22,10,Low Fat,0.099805,Snack Foods,113.7544,OUT049,1999,Medium,Tier 1,Supermarket Type1,3243.778
FDU15,13.65,Regular,0.044526,Meat,37.9532,OUT010,1998,,Tier 3,Grocery Store,71.9064
FDB41,19,Regular,0.162882,Frozen Foods,46.8718,OUT010,1998,,Tier 3,Grocery Store,189.0872
FDZ35,9.6,Regular,0.022404,Breads,102.499,OUT017,2007,,Tier 2,Supermarket Type1,2579.975
FDT60,12,Low Fat,0.075976,Baking Goods,124.1388,OUT017,2007,,Tier 2,Supermarket Type1,1486.066
FDE51,5.925,Regular,0.096449,Dairy,43.8086,OUT035,2004,Small,Tier 2,Supermarket Type1,312.2602
